date,hypothermia,alcoholism,allergies,food allergies,anthrax,apnea,arthritis,asthma,hallucinations,back injury,cancer,headaches,calculus,sting,bleeding,blindness,high blood pressure,stroke,bruises,blisters,burn,corpses,pancreatic cancer,skin cancer,cervical cancer,cardiac arrest,death,heart disease,cardiovascular disease,chills,cholera,chronic disease,chronic pain,spasms,shock,dengue,syndrome,abdominal pain,colon cancer,coma,spinal cord injury,cough,sudden death,birth defects,diarrhea,disease,multiple sclerosis,dizziness,binge drinking,drowning,drug overdose,spotting,shortness of breath,emergency,epilepsy,starvation,fibrosis,flushing,seizures,broken bones,sleep deprivation,boils,weight gain,heart attack,heart failure,heatstroke,hepatitis,hepatitis c,hiccups,hiv infections,influenza,fever,hearing loss,illusion,aids,infection,bacterial infection,infectious diseases,inflammation,injuries,brain injury,insomnia,encephalopathy,brain dead,kidney failure,knee injury,lacerations,fatigue,leukemia,pneumonia,erectile dysfunction,measles,melanoma,meningitis,microcephaly,migraines,maids,cramps,nausea,prostate cancer,lung cancer,ovarian cancer,malnutrition,childhood obesity,obesity,choking,overweight,chest pain,aches,dementia,pertussis,plague,food poisoning,poisoning,polio,brain cancer,rash,confusion,recurrence,head injuries,malaria,infertility,mental retardation,lymphoma,rupture,scars,sclerosis,amelia,sleep apnea,sore throat,memory loss,spinal injury,miscarriage,stab wounds,strain,substance abuse,suffocation,back pain,paralysis,tremors,down syndrome,tuberculosis,breast cancer,unconsciousness,sexually transmitted diseases,vomiting,dehydration,body weight,weight loss,gunshot wound
2011-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09,0.0,1.0,19.0,1.0,13.0,0.0,1.0,9.0,2.0,2.0,109.0,8.0,1.0,18.0,13.0,3.0,12.0,49.0,9.0,2.0,48.0,12.0,0.0,1.0,22.0,2.0,461.0,14.0,4.0,6.0,3.0,7.0,1.0,0.0,34.0,6.0,9.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,8.0,143.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,150.0,1.0,8.0,0.0,4.0,3.0,0.0,2.0,3.0,6.0,9.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,21.0,0.0,7.0,7.0,43.0,2.0,9.0,5.0,207.0,3.0,18.0,1.0,0.0,3.0,1.0,1.0,11.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0,27.0,1.0,16.0,0.0,5.0,15.0,0.0,2.0,1.0,7.0,10.0,3.0,5.0,15.0,1.0,9.0,0.0,10.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,11.0,3.0,2.0,1.0,8.0,3.0,0.0,1.0,7.0,0.0,6.0,5.0,4.0,3.0,5.0,6.0
2011-10,2.0,1.0,1.0,0.0,38.0,0.0,12.0,1.0,1.0,1.0,398.0,11.0,3.0,13.0,12.0,0.0,17.0,52.0,5.0,3.0,46.0,32.0,40.0,3.0,2.0,5.0,789.0,8.0,4.0,3.0,4.0,2.0,2.0,2.0,34.0,8.0,13.0,4.0,3.0,8.0,2.0,12.0,1.0,8.0,20.0,130.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,182.0,1.0,18.0,1.0,5.0,14.0,4.0,2.0,5.0,3.0,15.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,25.0,0.0,9.0,19.0,43.0,3.0,6.0,3.0,340.0,11.0,29.0,0.0,0.0,5.0,2.0,2.0,8.0,5.0,12.0,2.0,3.0,3.0,4.0,0.0,0.0,10.0,3.0,8.0,32.0,1.0,5.0,4.0,0.0,17.0,1.0,25.0,2.0,2.0,1.0,0.0,10.0,7.0,14.0,0.0,2.0,8.0,22.0,8.0,11.0,18.0,2.0,0.0,2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,4.0,28.0,15.0,9.0,14.0,12.0,6.0,0.0,1.0,57.0,0.0,4.0,12.0,9.0,9.0,16.0,19.0
2011-11,0.0,5.0,10.0,3.0,8.0,2.0,10.0,2.0,1.0,8.0,144.0,9.0,0.0,14.0,9.0,1.0,14.0,39.0,12.0,0.0,44.0,17.0,2.0,0.0,0.0,2.0,501.0,14.0,3.0,2.0,14.0,5.0,3.0,3.0,54.0,4.0,4.0,0.0,1.0,7.0,2.0,5.0,1.0,2.0,5.0,170.0,1.0,0.0,1.0,10.0,6.0,2.0,4.0,162.0,5.0,15.0,2.0,4.0,16.0,3.0,6.0,0.0,5.0,20.0,13.0,1.0,2.0,1.0,1.0,5.0,1.0,12.0,1.0,7.0,39.0,31.0,2.0,8.0,3.0,220.0,4.0,11.0,2.0,0.0,1.0,1.0,1.0,4.0,4.0,9.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,28.0,10.0,2.0,3.0,3.0,10.0,4.0,10.0,0.0,2.0,17.0,0.0,5.0,1.0,15.0,0.0,2.0,6.0,20.0,4.0,4.0,6.0,15.0,0.0,6.0,1.0,16.0,2.0,0.0,2.0,0.0,2.0,1.0,10.0,0.0,16.0,7.0,1.0,0.0,8.0,4.0,1.0,2.0,6.0,0.0,0.0,2.0,4.0,3.0,17.0,7.0
2011-12,0.0,4.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,197.0,10.0,1.0,9.0,23.0,4.0,7.0,32.0,14.0,0.0,40.0,12.0,2.0,0.0,1.0,2.0,642.0,11.0,1.0,1.0,0.0,2.0,0.0,2.0,44.0,6.0,10.0,1.0,6.0,1.0,1.0,5.0,3.0,2.0,0.0,108.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,138.0,1.0,36.0,2.0,1.0,11.0,6.0,2.0,1.0,10.0,32.0,4.0,0.0,2.0,1.0,1.0,4.0,7.0,17.0,4.0,11.0,70.0,59.0,1.0,3.0,2.0,262.0,11.0,3.0,3.0,1.0,7.0,2.0,3.0,18.0,1.0,11.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,5.0,10.0,5.0,0.0,3.0,2.0,12.0,4.0,7.0,5.0,0.0,2.0,0.0,3.0,3.0,13.0,1.0,3.0,7.0,16.0,3.0,7.0,4.0,1.0,0.0,3.0,5.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,25.0,17.0,1.0,0.0,7.0,11.0,2.0,1.0,23.0,0.0,2.0,2.0,1.0,0.0,9.0,22.0
2012-01,4.0,1.0,46.0,17.0,0.0,0.0,1.0,9.0,0.0,5.0,100.0,16.0,4.0,9.0,16.0,1.0,10.0,40.0,14.0,0.0,35.0,17.0,0.0,0.0,0.0,3.0,472.0,17.0,3.0,1.0,4.0,5.0,0.0,1.0,47.0,2.0,15.0,0.0,2.0,27.0,1.0,5.0,2.0,0.0,1.0,83.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0,195.0,8.0,8.0,7.0,2.0,16.0,3.0,3.0,2.0,9.0,35.0,5.0,1.0,4.0,2.0,1.0,0.0,3.0,8.0,0.0,14.0,7.0,14.0,0.0,1.0,9.0,268.0,12.0,0.0,6.0,0.0,3.0,3.0,2.0,7.0,8.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,4.0,1.0,9.0,0.0,6.0,2.0,25.0,6.0,6.0,1.0,1.0,21.0,0.0,3.0,0.0,4.0,10.0,1.0,10.0,18.0,1.0,3.0,3.0,0.0,2.0,5.0,14.0,11.0,1.0,15.0,0.0,0.0,2.0,0.0,4.0,0.0,18.0,5.0,2.0,0.0,4.0,5.0,0.0,3.0,7.0,0.0,5.0,2.0,2.0,3.0,12.0,15.0
2012-02,17.0,11.0,18.0,8.0,1.0,3.0,6.0,15.0,0.0,4.0,134.0,17.0,1.0,22.0,12.0,0.0,6.0,42.0,9.0,0.0,46.0,14.0,2.0,1.0,0.0,0.0,566.0,18.0,1.0,1.0,3.0,10.0,0.0,2.0,44.0,0.0,16.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,10.0,98.0,2.0,1.0,0.0,2.0,5.0,0.0,1.0,144.0,4.0,18.0,1.0,2.0,10.0,1.0,1.0,4.0,2.0,14.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,10.0,0.0,8.0,12.0,27.0,3.0,1.0,3.0,235.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,3.0,4.0,4.0,1.0,4.0,1.0,10.0,11.0,41.0,3.0,22.0,0.0,2.0,3.0,0.0,3.0,4.0,8.0,0.0,1.0,4.0,36.0,15.0,8.0,2.0,0.0,1.0,2.0,0.0,10.0,3.0,1.0,3.0,0.0,5.0,0.0,1.0,0.0,16.0,42.0,2.0,4.0,4.0,5.0,6.0,3.0,30.0,0.0,3.0,8.0,3.0,1.0,4.0,19.0
2012-03,3.0,1.0,4.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,196.0,9.0,2.0,17.0,22.0,1.0,4.0,27.0,7.0,1.0,45.0,16.0,1.0,3.0,12.0,19.0,559.0,7.0,1.0,0.0,0.0,7.0,1.0,0.0,67.0,0.0,15.0,1.0,14.0,6.0,0.0,1.0,2.0,4.0,2.0,117.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,155.0,6.0,9.0,5.0,2.0,19.0,2.0,1.0,5.0,0.0,25.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,6.0,5.0,10.0,0.0,0.0,3.0,311.0,49.0,9.0,3.0,4.0,7.0,5.0,4.0,11.0,7.0,3.0,7.0,1.0,2.0,0.0,0.0,3.0,5.0,1.0,0.0,10.0,10.0,1.0,7.0,1.0,4.0,4.0,3.0,1.0,2.0,0.0,0.0,6.0,1.0,8.0,3.0,5.0,10.0,22.0,6.0,14.0,2.0,5.0,18.0,1.0,3.0,17.0,1.0,7.0,12.0,2.0,1.0,0.0,8.0,0.0,23.0,39.0,0.0,0.0,4.0,10.0,0.0,0.0,7.0,1.0,3.0,7.0,6.0,2.0,5.0,15.0
2012-04,0.0,3.0,4.0,0.0,0.0,1.0,10.0,1.0,2.0,4.0,222.0,5.0,4.0,16.0,24.0,2.0,5.0,27.0,5.0,1.0,25.0,19.0,2.0,0.0,3.0,6.0,628.0,11.0,5.0,1.0,1.0,2.0,0.0,0.0,41.0,0.0,16.0,2.0,1.0,8.0,1.0,3.0,5.0,5.0,1.0,130.0,6.0,3.0,2.0,7.0,1.0,4.0,0.0,89.0,5.0,13.0,2.0,0.0,31.0,2.0,0.0,2.0,4.0,16.0,3.0,0.0,3.0,1.0,1.0,0.0,3.0,17.0,1.0,14.0,6.0,20.0,0.0,2.0,3.0,205.0,2.0,0.0,13.0,0.0,2.0,5.0,3.0,5.0,1.0,5.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,12.0,8.0,24.0,12.0,0.0,15.0,1.0,5.0,1.0,0.0,17.0,0.0,1.0,1.0,18.0,1.0,2.0,6.0,11.0,7.0,8.0,4.0,2.0,2.0,0.0,1.0,14.0,7.0,0.0,1.0,4.0,3.0,1.0,4.0,1.0,24.0,13.0,0.0,3.0,5.0,5.0,4.0,4.0,16.0,2.0,1.0,5.0,4.0,1.0,8.0,15.0
2012-05,0.0,2.0,14.0,9.0,0.0,0.0,1.0,7.0,7.0,5.0,159.0,14.0,7.0,17.0,19.0,10.0,4.0,31.0,22.0,0.0,39.0,15.0,1.0,6.0,2.0,5.0,545.0,17.0,5.0,2.0,1.0,9.0,0.0,0.0,60.0,0.0,9.0,0.0,2.0,8.0,2.0,5.0,2.0,2.0,8.0,214.0,0.0,4.0,0.0,12.0,5.0,6.0,1.0,146.0,8.0,13.0,2.0,1.0,28.0,3.0,2.0,2.0,6.0,13.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,22.0,3.0,7.0,39.0,95.0,5.0,6.0,9.0,284.0,28.0,2.0,15.0,0.0,2.0,4.0,5.0,8.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,3.0,7.0,2.0,5.0,20.0,7.0,0.0,4.0,7.0,49.0,6.0,13.0,0.0,5.0,29.0,0.0,4.0,3.0,12.0,3.0,2.0,10.0,24.0,0.0,10.0,5.0,1.0,0.0,1.0,6.0,17.0,1.0,1.0,0.0,1.0,4.0,0.0,7.0,3.0,25.0,6.0,3.0,1.0,12.0,4.0,4.0,3.0,11.0,2.0,1.0,10.0,3.0,1.0,3.0,14.0
2012-06,1.0,3.0,20.0,3.0,0.0,1.0,5.0,8.0,7.0,2.0,200.0,36.0,1.0,38.0,18.0,0.0,6.0,17.0,7.0,2.0,38.0,9.0,1.0,3.0,0.0,3.0,414.0,9.0,2.0,2.0,0.0,4.0,0.0,1.0,71.0,2.0,14.0,0.0,3.0,11.0,1.0,3.0,3.0,3.0,5.0,91.0,1.0,1.0,1.0,12.0,0.0,11.0,2.0,172.0,28.0,3.0,2.0,1.0,65.0,2.0,3.0,2.0,16.0,18.0,1.0,2.0,6.0,4.0,1.0,0.0,0.0,15.0,1.0,8.0,15.0,39.0,1.0,2.0,7.0,264.0,6.0,2.0,5.0,2.0,3.0,4.0,3.0,14.0,3.0,5.0,0.0,1.0,5.0,0.0,0.0,29.0,0.0,5.0,4.0,8.0,19.0,0.0,4.0,4.0,47.0,9.0,11.0,2.0,1.0,4.0,0.0,9.0,2.0,3.0,19.0,8.0,4.0,24.0,1.0,6.0,2.0,1.0,0.0,0.0,2.0,11.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,24.0,7.0,7.0,2.0,7.0,5.0,6.0,2.0,16.0,3.0,2.0,4.0,4.0,3.0,12.0,9.0
2012-07,0.0,4.0,5.0,1.0,0.0,2.0,2.0,3.0,9.0,3.0,134.0,17.0,5.0,14.0,27.0,2.0,7.0,34.0,14.0,3.0,48.0,5.0,3.0,5.0,1.0,0.0,415.0,7.0,0.0,1.0,10.0,7.0,0.0,0.0,37.0,8.0,10.0,5.0,1.0,8.0,3.0,3.0,1.0,7.0,18.0,163.0,0.0,0.0,3.0,10.0,1.0,1.0,1.0,173.0,8.0,3.0,1.0,1.0,26.0,6.0,1.0,1.0,12.0,13.0,5.0,8.0,20.0,16.0,2.0,2.0,4.0,29.0,10.0,9.0,64.0,57.0,2.0,6.0,14.0,261.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,9.0,6.0,5.0,4.0,1.0,4.0,1.0,0.0,2.0,1.0,2.0,4.0,10.0,8.0,1.0,0.0,0.0,13.0,2.0,15.0,2.0,6.0,6.0,1.0,1.0,2.0,15.0,60.0,3.0,11.0,25.0,3.0,7.0,3.0,2.0,3.0,2.0,6.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,4.0,1.0,21.0,26.0,3.0,0.0,9.0,1.0,0.0,1.0,24.0,1.0,0.0,14.0,3.0,0.0,11.0,17.0
2012-08,0.0,2.0,6.0,0.0,0.0,2.0,5.0,10.0,1.0,4.0,184.0,25.0,3.0,25.0,16.0,2.0,6.0,60.0,10.0,3.0,40.0,12.0,2.0,1.0,3.0,5.0,451.0,6.0,2.0,5.0,8.0,7.0,0.0,3.0,57.0,0.0,32.0,4.0,3.0,10.0,2.0,12.0,1.0,3.0,18.0,234.0,7.0,2.0,0.0,16.0,3.0,5.0,5.0,179.0,7.0,3.0,0.0,20.0,12.0,2.0,1.0,6.0,3.0,23.0,4.0,3.0,2.0,2.0,0.0,1.0,7.0,43.0,1.0,4.0,12.0,86.0,4.0,1.0,21.0,295.0,7.0,4.0,1.0,0.0,1.0,6.0,2.0,25.0,3.0,13.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,3.0,5.0,1.0,0.0,4.0,0.0,5.0,4.0,11.0,3.0,13.0,2.0,0.0,1.0,0.0,17.0,0.0,12.0,16.0,23.0,16.0,1.0,13.0,2.0,6.0,3.0,2.0,8.0,7.0,1.0,2.0,2.0,0.0,4.0,5.0,2.0,36.0,16.0,1.0,1.0,6.0,2.0,4.0,0.0,26.0,2.0,8.0,20.0,6.0,2.0,8.0,17.0
2012-09,1.0,21.0,3.0,0.0,1.0,1.0,7.0,5.0,0.0,2.0,221.0,13.0,1.0,18.0,9.0,0.0,8.0,41.0,5.0,2.0,31.0,8.0,1.0,1.0,1.0,0.0,462.0,30.0,8.0,4.0,5.0,8.0,3.0,0.0,42.0,0.0,12.0,0.0,1.0,11.0,4.0,6.0,1.0,11.0,6.0,188.0,3.0,2.0,2.0,7.0,0.0,1.0,1.0,107.0,1.0,4.0,0.0,16.0,11.0,4.0,1.0,2.0,8.0,43.0,0.0,1.0,1.0,0.0,4.0,6.0,1.0,13.0,3.0,12.0,21.0,38.0,2.0,3.0,9.0,274.0,18.0,3.0,1.0,0.0,0.0,5.0,1.0,10.0,5.0,10.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,7.0,9.0,6.0,42.0,4.0,14.0,2.0,3.0,5.0,0.0,5.0,2.0,13.0,3.0,6.0,0.0,22.0,2.0,15.0,12.0,0.0,2.0,3.0,3.0,7.0,4.0,1.0,1.0,0.0,2.0,0.0,3.0,6.0,12.0,17.0,0.0,8.0,9.0,3.0,4.0,1.0,11.0,1.0,0.0,7.0,4.0,4.0,15.0,13.0
2012-10,1.0,7.0,8.0,0.0,0.0,9.0,1.0,3.0,0.0,2.0,311.0,42.0,2.0,29.0,8.0,2.0,6.0,34.0,9.0,0.0,49.0,2.0,2.0,1.0,0.0,2.0,363.0,22.0,3.0,6.0,3.0,6.0,1.0,0.0,45.0,0.0,17.0,2.0,2.0,10.0,0.0,6.0,0.0,3.0,5.0,217.0,3.0,14.0,0.0,4.0,0.0,1.0,0.0,136.0,13.0,7.0,0.0,4.0,10.0,1.0,8.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,32.0,1.0,8.0,6.0,90.0,2.0,11.0,26.0,235.0,16.0,4.0,4.0,0.0,1.0,5.0,1.0,5.0,1.0,5.0,0.0,1.0,0.0,133.0,0.0,6.0,1.0,1.0,14.0,5.0,3.0,7.0,16.0,1.0,14.0,4.0,3.0,0.0,1.0,2.0,0.0,10.0,1.0,4.0,38.0,3.0,4.0,36.0,6.0,3.0,21.0,14.0,8.0,2.0,4.0,7.0,3.0,0.0,1.0,2.0,1.0,2.0,8.0,1.0,18.0,7.0,0.0,6.0,12.0,3.0,2.0,3.0,72.0,0.0,0.0,9.0,3.0,0.0,4.0,12.0
2012-11,1.0,5.0,12.0,6.0,0.0,1.0,2.0,4.0,1.0,2.0,138.0,15.0,1.0,11.0,7.0,0.0,9.0,28.0,4.0,0.0,40.0,3.0,0.0,0.0,2.0,1.0,296.0,20.0,3.0,1.0,3.0,3.0,1.0,1.0,38.0,2.0,27.0,0.0,1.0,11.0,1.0,6.0,0.0,1.0,4.0,110.0,3.0,2.0,0.0,9.0,4.0,1.0,0.0,134.0,2.0,9.0,3.0,3.0,19.0,1.0,3.0,2.0,2.0,21.0,1.0,0.0,7.0,5.0,2.0,2.0,2.0,17.0,2.0,6.0,25.0,26.0,0.0,4.0,6.0,209.0,11.0,1.0,1.0,3.0,1.0,3.0,1.0,14.0,6.0,1.0,0.0,2.0,0.0,13.0,0.0,2.0,0.0,0.0,11.0,6.0,2.0,1.0,3.0,3.0,14.0,11.0,6.0,0.0,3.0,16.0,0.0,4.0,2.0,25.0,1.0,4.0,5.0,18.0,5.0,0.0,1.0,0.0,2.0,0.0,3.0,7.0,3.0,3.0,1.0,0.0,1.0,0.0,7.0,1.0,31.0,12.0,3.0,6.0,6.0,3.0,16.0,0.0,17.0,0.0,2.0,4.0,1.0,2.0,7.0,8.0
2012-12,6.0,1.0,11.0,6.0,1.0,0.0,2.0,2.0,2.0,0.0,176.0,14.0,1.0,11.0,18.0,6.0,1.0,33.0,3.0,1.0,53.0,4.0,0.0,4.0,1.0,3.0,466.0,8.0,2.0,0.0,0.0,2.0,1.0,4.0,64.0,0.0,33.0,1.0,0.0,17.0,0.0,0.0,1.0,0.0,3.0,99.0,3.0,1.0,1.0,6.0,4.0,1.0,1.0,149.0,8.0,13.0,4.0,3.0,25.0,1.0,4.0,2.0,1.0,14.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,10.0,4.0,8.0,34.0,72.0,2.0,3.0,10.0,284.0,15.0,0.0,3.0,0.0,0.0,3.0,3.0,12.0,9.0,10.0,0.0,2.0,2.0,6.0,0.0,1.0,0.0,0.0,5.0,6.0,5.0,2.0,2.0,3.0,14.0,4.0,5.0,0.0,5.0,13.0,0.0,1.0,2.0,6.0,24.0,6.0,7.0,21.0,8.0,14.0,0.0,4.0,2.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,14.0,2.0,1.0,11.0,2.0,4.0,1.0,17.0,2.0,1.0,6.0,5.0,1.0,1.0,20.0
2013-01,2.0,19.0,25.0,14.0,0.0,2.0,2.0,9.0,0.0,4.0,278.0,12.0,2.0,11.0,12.0,3.0,11.0,59.0,12.0,4.0,45.0,6.0,2.0,0.0,3.0,2.0,515.0,7.0,4.0,5.0,4.0,9.0,1.0,0.0,45.0,0.0,15.0,3.0,2.0,23.0,3.0,28.0,2.0,0.0,8.0,160.0,0.0,3.0,15.0,6.0,2.0,2.0,4.0,166.0,0.0,4.0,1.0,6.0,19.0,3.0,3.0,3.0,10.0,20.0,11.0,2.0,6.0,3.0,3.0,1.0,41.0,21.0,0.0,8.0,15.0,71.0,6.0,10.0,13.0,300.0,15.0,7.0,8.0,2.0,0.0,8.0,0.0,4.0,25.0,20.0,4.0,3.0,2.0,6.0,0.0,2.0,3.0,0.0,9.0,9.0,4.0,2.0,6.0,1.0,38.0,1.0,26.0,3.0,8.0,11.0,4.0,4.0,6.0,17.0,8.0,3.0,7.0,20.0,6.0,9.0,3.0,3.0,3.0,7.0,1.0,7.0,0.0,3.0,2.0,5.0,4.0,4.0,9.0,0.0,48.0,10.0,0.0,0.0,4.0,0.0,2.0,1.0,3.0,1.0,5.0,9.0,10.0,3.0,7.0,12.0
2013-02,9.0,5.0,32.0,10.0,2.0,1.0,3.0,6.0,2.0,2.0,188.0,15.0,2.0,15.0,4.0,21.0,7.0,47.0,2.0,2.0,47.0,12.0,1.0,1.0,1.0,2.0,431.0,17.0,2.0,1.0,1.0,3.0,3.0,2.0,65.0,0.0,12.0,0.0,1.0,13.0,4.0,4.0,4.0,2.0,6.0,163.0,5.0,2.0,0.0,2.0,3.0,2.0,4.0,138.0,5.0,4.0,1.0,1.0,12.0,1.0,2.0,0.0,4.0,20.0,8.0,0.0,3.0,0.0,0.0,2.0,4.0,7.0,1.0,8.0,19.0,30.0,2.0,5.0,6.0,335.0,11.0,3.0,7.0,1.0,2.0,8.0,1.0,12.0,4.0,6.0,2.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,4.0,2.0,4.0,3.0,3.0,1.0,23.0,7.0,8.0,3.0,1.0,4.0,0.0,6.0,4.0,8.0,7.0,3.0,17.0,18.0,7.0,1.0,7.0,1.0,5.0,1.0,2.0,8.0,5.0,2.0,1.0,1.0,1.0,3.0,7.0,3.0,14.0,8.0,1.0,4.0,3.0,2.0,0.0,0.0,23.0,0.0,2.0,11.0,2.0,3.0,16.0,12.0
